Entity,ISO3,Year,Age,Population,Start Age
Hungary,HUN,1974,Age: 65+,1301023,65
Hungary,HUN,1975,Age: 0-4,792396,0
Hungary,HUN,1975,Age: 15-24,1704381,15
Hungary,HUN,1975,Age: 25-64,5331682,25
Hungary,HUN,1975,Age: 5-14,1355233,5
Hungary,HUN,1975,Age: 65+,1331899,65
Hungary,HUN,1976,Age: 0-4,830337,0
Hungary,HUN,1976,Age: 15-24,1666315,15
Hungary,HUN,1976,Age: 25-64,5352059,25
Hungary,HUN,1976,Age: 5-14,1366101,5
Hungary,HUN,1976,Age: 65+,1358893,65
Hungary,HUN,1977,Age: 0-4,859969,0
Hungary,HUN,1977,Age: 15-24,1623679,15
Hungary,HUN,1977,Age: 25-64,5367640,25
Hungary,HUN,1977,Age: 5-14,1385548,5
Hungary,HUN,1977,Age: 65+,1386237,65
Hungary,HUN,1978,Age: 0-4,878473,0
Hungary,HUN,1978,Age: 15-24,1570478,15
Hungary,HUN,1978,Age: 25-64,5389491,25
Hungary,HUN,1978,Age: 5-14,1410965,5
Hungary,HUN,1978,Age: 65+,1410703,65
Hungary,HUN,1979,Age: 0-4,875150,0
Hungary,HUN,1979,Age: 15-24,1502332,15
Hungary,HUN,1979,Age: 25-64,5430022,25
Hungary,HUN,1979,Age: 5-14,1449585,5
Hungary,HUN,1979,Age: 65+,1431088,65
Hungary,HUN,1980,Age: 0-4,843884,0
Hungary,HUN,1980,Age: 15-24,1429892,15
Hungary,HUN,1980,Age: 25-64,5486816,25
Hungary,HUN,1980,Age: 5-14,1503701,5
Hungary,HUN,1980,Age: 65+,1430992,65
Hungary,HUN,1981,Age: 0-4,801547,0
Hungary,HUN,1981,Age: 15-24,1370274,15
Hungary,HUN,1981,Age: 25-64,5552987,25
Hungary,HUN,1981,Age: 5-14,1554834,5
Hungary,HUN,1981,Age: 65+,1399594,65
Hungary,HUN,1982,Age: 0-4,759579,0
Hungary,HUN,1982,Age: 15-24,1336630,15
Hungary,HUN,1982,Age: 25-64,5609727,25
Hungary,HUN,1982,Age: 5-14,1592128,5
Hungary,HUN,1982,Age: 65+,1357941,65
Hungary,HUN,1983,Age: 0-4,717784,0
Hungary,HUN,1983,Age: 15-24,1326098,15
Hungary,HUN,1983,Age: 25-64,5650165,25
Hungary,HUN,1983,Age: 5-14,1614117,5
Hungary,HUN,1983,Age: 65+,1314713,65
Hungary,HUN,1984,Age: 0-4,679517,0
Hungary,HUN,1984,Age: 15-24,1325532,15
Hungary,HUN,1984,Age: 25-64,5657950,25
Hungary,HUN,1984,Age: 5-14,1626381,5
Hungary,HUN,1984,Age: 65+,1294834,65
Hungary,HUN,1985,Age: 0-4,652540,0
Hungary,HUN,1985,Age: 15-24,1329120,15
Hungary,HUN,1985,Age: 25-64,5630668,25
Hungary,HUN,1985,Age: 5-14,1629991,5
Hungary,HUN,1985,Age: 65+,1304819,65
Hungary,HUN,1986,Age: 0-4,636258,0
Hungary,HUN,1986,Age: 15-24,1336047,15
Hungary,HUN,1986,Age: 25-64,5590718,25
Hungary,HUN,1986,Age: 5-14,1626034,5
Hungary,HUN,1986,Age: 65+,1321919,65
Hungary,HUN,1987,Age: 0-4,625194,0
Hungary,HUN,1987,Age: 15-24,1352278,15
Hungary,HUN,1987,Age: 25-64,5541915,25
Hungary,HUN,1987,Age: 5-14,1613819,5
Hungary,HUN,1987,Age: 65+,1341768,65
Hungary,HUN,1988,Age: 0-4,620024,0
Hungary,HUN,1988,Age: 15-24,1376461,15
Hungary,HUN,1988,Age: 25-64,5491608,25
Hungary,HUN,1988,Age: 5-14,1589924,5
Hungary,HUN,1988,Age: 65+,1362377,65
Hungary,HUN,1989,Age: 0-4,617957,0
Hungary,HUN,1989,Age: 15-24,1417341,15
Hungary,HUN,1989,Age: 25-64,5446286,25
Hungary,HUN,1989,Age: 5-14,1544333,5
Hungary,HUN,1989,Age: 65+,1377352,65
Hungary,HUN,1990,Age: 0-4,616361,0
Hungary,HUN,1990,Age: 15-24,1477782,15
Hungary,HUN,1990,Age: 25-64,5411755,25
Hungary,HUN,1990,Age: 5-14,1483022,5
Hungary,HUN,1990,Age: 65+,1392205,65
Hungary,HUN,1991,Age: 0-4,615869,0
Hungary,HUN,1991,Age: 15-24,1533726,15
Hungary,HUN,1991,Age: 25-64,5389903,25
Hungary,HUN,1991,Age: 5-14,1427965,5
Hungary,HUN,1991,Age: 65+,1410554,65
Hungary,HUN,1992,Age: 0-4,614688,0
Hungary,HUN,1992,Age: 15-24,1571742,15
Hungary,HUN,1992,Age: 25-64,5379179,25
Hungary,HUN,1992,Age: 5-14,1381639,5
Hungary,HUN,1992,Age: 65+,1424057,65
Hungary,HUN,1993,Age: 0-4,609958,0
Hungary,HUN,1993,Age: 15-24,1593309,15
Hungary,HUN,1993,Age: 25-64,5375864,25
Hungary,HUN,1993,Age: 5-14,1342103,5
Hungary,HUN,1993,Age: 65+,1435445,65
Hungary,HUN,1994,Age: 0-4,603027,0
Hungary,HUN,1994,Age: 15-24,1605003,15
Hungary,HUN,1994,Age: 25-64,5374149,25
Hungary,HUN,1994,Age: 5-14,1309148,5
Hungary,HUN,1994,Age: 65+,1448410,65
Hungary,HUN,1995,Age: 0-4,592300,0
Hungary,HUN,1995,Age: 15-24,1609416,15
Hungary,HUN,1995,Age: 25-64,5371961,25
Hungary,HUN,1995,Age: 5-14,1284919,5
Hungary,HUN,1995,Age: 65+,1463980,65
Hungary,HUN,1996,Age: 0-4,574794,0
Hungary,HUN,1996,Age: 15-24,1608182,15
Hungary,HUN,1996,Age: 25-64,5372131,25
Hungary,HUN,1996,Age: 5-14,1269180,5
Hungary,HUN,1996,Age: 65+,1477715,65
Hungary,HUN,1997,Age: 0-4,553700,0
Hungary,HUN,1997,Age: 15-24,1600039,15
Hungary,HUN,1997,Age: 25-64,5377831,25
Hungary,HUN,1997,Age: 5-14,1257763,5
Hungary,HUN,1997,Age: 65+,1489011,65
Hungary,HUN,1998,Age: 0-4,533206,0
Hungary,HUN,1998,Age: 15-24,1583120,15
