year,month,p_mean
2004.0,11.0,53.277328
2004.0,12.0,54.15461
2005.0,1.0,50.77124
2005.0,2.0,52.2743
2005.0,3.0,53.307178
2005.0,4.0,51.945477
2005.0,5.0,43.944851
2005.0,6.0,53.473415
2005.0,7.0,52.498123
2005.0,8.0,51.728233
2005.0,9.0,52.879871
2005.0,10.0,54.108696
2005.0,11.0,56.334938
2005.0,12.0,55.892677
2006.0,1.0,51.19416
2006.0,2.0,57.753159
2006.0,3.0,60.457249
2006.0,4.0,60.259239
2006.0,5.0,61.718727
2006.0,6.0,62.469814
2006.0,7.0,60.504192
2006.0,8.0,59.043312
2006.0,9.0,60.289684
2006.0,10.0,60.05843
2006.0,11.0,60.824852
2006.0,12.0,61.754951
2007.0,1.0,49.868057
2007.0,2.0,51.523556
2007.0,3.0,55.531998
2007.0,4.0,55.126839
2007.0,5.0,56.962868
2007.0,6.0,58.837074
2007.0,7.0,57.079357
2007.0,8.0,57.560268
2007.0,9.0,58.990997
2007.0,10.0,58.939091
2007.0,11.0,59.608009
2007.0,12.0,61.302155
2008.0,1.0,57.510262
2008.0,2.0,61.203434
2008.0,3.0,62.25856
2008.0,4.0,60.124866
2008.0,5.0,61.675156
2008.0,6.0,63.697212
2008.0,7.0,60.986855
2008.0,8.0,61.465427
2008.0,9.0,62.003986
2008.0,10.0,61.974426
2008.0,11.0,62.836426
2008.0,12.0,63.548832
2009.0,1.0,58.864304
2009.0,2.0,61.393509
2009.0,3.0,62.610962
2009.0,4.0,62.126259
2009.0,5.0,63.710007
2009.0,6.0,64.262901
2009.0,7.0,62.190941
2009.0,8.0,62.81274
2009.0,9.0,64.281311
2009.0,10.0,64.014481
2009.0,11.0,65.708435
2009.0,12.0,66.967537
2010.0,1.0,55.870094
2010.0,2.0,63.800529
2010.0,3.0,65.227867
2010.0,4.0,63.732819
2010.0,5.0,64.34185
2010.0,6.0,65.995773
2010.0,7.0,63.922768
2010.0,8.0,64.97953
2010.0,9.0,66.222809
2010.0,10.0,65.84993
2010.0,11.0,67.840004
2010.0,12.0,67.926346
2011.0,1.0,58.168495
2011.0,2.0,65.885254
2011.0,3.0,67.154068
2011.0,4.0,65.650925
2011.0,5.0,66.364624
2011.0,6.0,67.656349
2011.0,7.0,65.11528
2011.0,8.0,65.965141
2011.0,9.0,67.654129
2011.0,10.0,67.227493
2011.0,11.0,68.290886
2011.0,12.0,68.677582
2012.0,1.0,59.132908
2012.0,2.0,67.625412
2012.0,3.0,68.052567
2012.0,4.0,65.136452
2012.0,5.0,66.244339
2012.0,6.0,66.863647
2012.0,7.0,65.746376
2012.0,8.0,67.098846
2012.0,9.0,68.637291
2012.0,10.0,69.340683
2012.0,11.0,69.141869
2012.0,12.0,69.159523
2013.0,1.0,59.581875
2013.0,2.0,59.950027
2013.0,3.0,60.556293
2013.0,4.0,58.11441
2013.0,5.0,58.93866
2013.0,6.0,58.994057
2013.0,7.0,57.661659
2013.0,8.0,58.495785
2013.0,9.0,59.435066
2013.0,10.0,58.977577
2013.0,11.0,60.490768
2013.0,12.0,61.688175
2014.0,1.0,59.313713
2014.0,2.0,60.408157
2014.0,3.0,60.326717
2014.0,4.0,57.943092
2014.0,5.0,58.80014
2014.0,6.0,59.923931
