Entity,Code,Year,Population share in urban areas,GDP per capita,900793-annotations,Population (historical),World regions according to OWID,time,time,time,time
Israel,ISR,2022,58.416714,36648.918,,9103144,Asia,2022,2023,2022,2022
Italy,ITA,2022,72.18462,36224.293,,59619106,Europe,2022,2023,2022,2022
Jamaica,JAM,2022,59.7188,7481.6685,,2839151,North America,2022,2023,2022,2022
Japan,JPN,2022,71.3814,38268.79,,124997586,Asia,2022,2023,2022,2022
Jordan,JOR,2022,82.82035,9151.479,,11256268,Asia,2022,2023,2022,2022
Kazakhstan,KAZ,2022,65.922356,26491.857,,20034612,Asia,2022,2023,2022,2022
Kenya,KEN,2022,28.406895,3403.9238,,54252456,Africa,2022,2023,2022,2022
Kuwait,KWT,2022,100,71533.516,,4589514,Asia,2022,2023,2022,2022
Kyrgyzstan,KGZ,2022,41.682945,5304.841,,6955792,Asia,2022,2023,2022,2022
Laos,LAO,2022,42.3198,7168.1904,,7559007,Asia,2022,2023,2022,2022
Latvia,LVA,2022,71.68461,27220.303,,1881058,Europe,2022,2023,2022,2022
Lebanon,LBN,2022,89.35787,10341.159,,5744494,Asia,2022,2023,2022,2022
Lesotho,LSO,2022,35.33711,2312.9583,,2286112,Africa,2022,2023,2022,2022
Liberia,LBR,2022,55.602497,811.2146,,5373296,Africa,2022,2023,2022,2022
Libya,LBY,2022,82.30181,12755.204,,7223804,Africa,2022,2023,2022,2022
Lithuania,LTU,2022,71.35194,30863.32,,2816922,Europe,2022,2023,2022,2022
Luxembourg,LUX,2022,87.70159,55484.777,,653316,Europe,2022,2023,2022,2022
Madagascar,MDG,2022,37.44996,1367.0938,,30437263,Africa,2022,2023,2022,2022
Malawi,MWI,2022,24.869358,1190.0509,,20568731,Africa,2022,2023,2022,2022
Malaysia,MYS,2022,76.4537,26628.707,,34695494,Asia,2022,2023,2022,2022
Mali,MLI,2022,43.95727,1651.9413,,23072639,Africa,2022,2023,2022,2022
Malta,MLT,2022,88.67414,34496.34,,528194,Europe,2022,2023,2022,2022
Mauritania,MRT,2022,48.698624,3680.3662,,4875645,Africa,2022,2023,2022,2022
Mauritius,MUS,2022,49.238804,20643.094,,1276134,Africa,2022,2023,2022,2022
Mexico,MEX,2022,81.779785,16235.455,,128613113,North America,2022,2023,2022,2022
Moldova,MDA,2022,54.525288,6674.871,,3039987,Europe,2022,2023,2022,2022
Mongolia,MNG,2022,68.310555,13442.906,,3386015,Asia,2022,2023,2022,2022
Morocco,MAR,2022,65.417366,8400.127,,37329069,Africa,2022,2023,2022,2022
Mozambique,MOZ,2022,43.974693,1087.836,,32656240,Africa,2022,2023,2022,2022
Myanmar,MMR,2022,41.13055,5177.4326,,53756790,Asia,2022,2023,2022,2022
Namibia,NAM,2022,45.31439,7979.328,,2889668,Africa,2022,2023,2022,2022
