Location,ISO3,Time,Age Group,Value,Percentage
Hungary,HUN,1984,65+,1294949,0.122345887
Hungary,HUN,1985,0-14,2282530.5,0.216409704
Hungary,HUN,1985,15-64,6959796,0.659867368
Hungary,HUN,1985,65+,1304938.5,0.123722927
Hungary,HUN,1986,0-14,2262291.5,0.215228847
Hungary,HUN,1986,15-64,6926766,0.658995473
Hungary,HUN,1986,65+,1322040.5,0.12577568
Hungary,HUN,1987,0-14,2239015.5,0.213746354
Hungary,HUN,1987,15-64,6894194,0.658150348
Hungary,HUN,1987,65+,1341895.5,0.128103298
Hungary,HUN,1988,0-14,2209949,0.211670173
Hungary,HUN,1988,15-64,6868064.5,0.657827126
Hungary,HUN,1988,65+,1362517.5,0.130502701
Hungary,HUN,1989,0-14,2162290.5,0.207844189
Hungary,HUN,1989,15-64,6863627,0.659747148
Hungary,HUN,1989,65+,1377503,0.132408663
Hungary,HUN,1990,0-14,2099382,0.202227644
Hungary,HUN,1990,15-64,6889539,0.66365018
Hungary,HUN,1990,65+,1392360,0.134122176
Hungary,HUN,1991,0-14,2043835,0.196935858
Hungary,HUN,1991,15-64,6923628.5,0.667133464
Hungary,HUN,1991,65+,1410712.5,0.135930678
Hungary,HUN,1992,0-14,1996327.5,0.192482525
Hungary,HUN,1992,15-64,6950921.5,0.670196107
Hungary,HUN,1992,65+,1424225,0.137321368
Hungary,HUN,1993,0-14,1952061.5,0.188479869
Hungary,HUN,1993,15-64,6969175.5,0.672903638
Hungary,HUN,1993,65+,1435633,0.138616493
Hungary,HUN,1994,0-14,1912175,0.184931011
Hungary,HUN,1994,15-64,6979153.5,0.674970602
Hungary,HUN,1994,65+,1448608.5,0.140098387
Hungary,HUN,1995,0-14,1877218,0.181851841
Hungary,HUN,1995,15-64,6981377,0.676307312
Hungary,HUN,1995,65+,1464193,0.141840848
Hungary,HUN,1996,0-14,1843974.5,0.178987812
Hungary,HUN,1996,15-64,6980311.5,0.677553123
Hungary,HUN,1996,65+,1477949,0.143459065
Hungary,HUN,1997,0-14,1811462.5,0.176236281
Hungary,HUN,1997,15-64,6977871.5,0.678873629
Hungary,HUN,1997,65+,1489267.5,0.14489009
Hungary,HUN,1998,0-14,1781030.5,0.17372998
Hungary,HUN,1998,15-64,6968924.5,0.679781235
Hungary,HUN,1998,65+,1501761.5,0.146488786
Hungary,HUN,1999,0-14,1749960.5,0.171232438
Hungary,HUN,1999,15-64,6958752,0.680909124
Hungary,HUN,1999,65+,1511083,0.147858438
Hungary,HUN,2000,0-14,1715989.5,0.168389455
Hungary,HUN,2000,15-64,6955399.5,0.682530944
Hungary,HUN,2000,65+,1519210.5,0.1490796
Hungary,HUN,2001,0-14,1679122,0.165159162
Hungary,HUN,2001,15-64,6959687.5,0.684557855
Hungary,HUN,2001,65+,1527880.5,0.150282983
Hungary,HUN,2002,0-14,1646902,0.162440953
Hungary,HUN,2002,15-64,6956140.5,0.686113742
Hungary,HUN,2002,65+,1535423,0.151445305
Hungary,HUN,2003,0-14,1619901.5,0.160244082
Hungary,HUN,2003,15-64,6946495.5,0.687162026
Hungary,HUN,2003,65+,1542566,0.152593891
Hungary,HUN,2004,0-14,1592907,0.157935753
Hungary,HUN,2004,15-64,6941917,0.688286819
Hungary,HUN,2004,65+,1550967,0.153777428
Hungary,HUN,2005,0-14,1566569.5,0.155634339
Hungary,HUN,2005,15-64,6936366.5,0.689108792
Hungary,HUN,2005,65+,1562770,0.155256869
Hungary,HUN,2006,0-14,1541547,0.153388631
Hungary,HUN,2006,15-64,6931928,0.689747992
Hungary,HUN,2006,65+,1576468,0.156863377
Hungary,HUN,2007,0-14,1519226.5,0.151406633
Hungary,HUN,2007,15-64,6922068,0.689855668
Hungary,HUN,2007,65+,1592787,0.158737698
Hungary,HUN,2008,0-14,1500704.5,0.149820893
Hungary,HUN,2008,15-64,6905425.5,0.689394226
Hungary,HUN,2008,65+,1610527,0.160784881
Hungary,HUN,2009,0-14,1484732,0.148452743
Hungary,HUN,2009,15-64,6886065.5,0.688511673
Hungary,HUN,2009,65+,1630580.5,0.163035584
Hungary,HUN,2010,0-14,1467032.5,0.147010082
Hungary,HUN,2010,15-64,6865706.5,0.688006623
Hungary,HUN,2010,65+,1646389.5,0.164983295
Hungary,HUN,2011,0-14,1448748,0.145651465
Hungary,HUN,2011,15-64,6836573.5,0.687322394
Hungary,HUN,2011,65+,1661355,0.167026142
Hungary,HUN,2012,0-14,1435576.5,0.144764654
Hungary,HUN,2012,15-64,6796009.5,0.6853149
Hungary,HUN,2012,65+,1685037,0.169920446
Hungary,HUN,2013,0-14,1428340,0.144432193
Hungary,HUN,2013,15-64,6748018.5,0.682352317
Hungary,HUN,2013,65+,1712988,0.17321549
Hungary,HUN,2014,0-14,1426499.5,0.144633717
Hungary,HUN,2014,15-64,6691970.5,0.678503265
Hungary,HUN,2014,65+,1744372,0.176863018
Hungary,HUN,2015,0-14,1425815,0.144911518
Hungary,HUN,2015,15-64,6636829,0.674528578
Hungary,HUN,2015,65+,1776567,0.180559905
Hungary,HUN,2016,0-14,1423657.5,0.145115219
Hungary,HUN,2016,15-64,6577982.5,0.67050212
Hungary,HUN,2016,65+,1808892,0.184382661
Hungary,HUN,2017,0-14,1422394.5,0.145355813
Hungary,HUN,2017,15-64,6525498,0.666846693
Hungary,HUN,2017,65+,1837712,0.187797494
Hungary,HUN,2018,0-14,1421834.5,0.14546524
Hungary,HUN,2018,15-64,6482792.5,0.66324243
Hungary,HUN,2018,65+,1869766.5,0.191292329
Hungary,HUN,2019,0-14,1421548,0.14549617
Hungary,HUN,2019,15-64,6433525,0.6584746
Hungary,HUN,2019,65+,1915273.5,0.19602923
Hungary,HUN,2020,0-14,1419293,0.145576628
Hungary,HUN,2020,15-64,6371432,0.653516634
Hungary,HUN,2020,65+,1958731.5,0.200906738
Hungary,HUN,2021,0-14,1413974.5,0.145652701
Hungary,HUN,2021,15-64,6312987,0.650297164
Hungary,HUN,2021,65+,1980888,0.204050135
Hungary,HUN,2022,0-14,1409123.5,0.145505891
Hungary,HUN,2022,15-64,6279483,0.648418516
Hungary,HUN,2022,65+,1995699,0.206075593
Hungary,HUN,2023,0-14,1403128.5,0.144854569
Hungary,HUN,2023,15-64,6266702,0.646954588
Hungary,HUN,2023,65+,2016633,0.208190843
Singapore,SGP,1950,0-14,411894,0.406482298
Singapore,SGP,1950,15-64,577560,0.569971682
Singapore,SGP,1950,65+,23859.5,0.02354602
Singapore,SGP,1951,0-14,438415.5,0.41048776
Singapore,SGP,1951,15-64,605581,0.567004561
